activity_id,viewer_id,movie_id,watch_date,duration_mins,completion_rate,device,rewatched
W001,V001,M031,2025-01-18,148,0.98,Mobile,No
W002,V002,M031,2025-01-19,148,1.00,TV,No
W003,V003,M033,2024-11-10,162,0.95,Mobile,No
W004,V004,M031,2025-01-20,148,0.87,Laptop,No
W005,V005,M003,2025-02-01,170,1.00,Mobile,Yes
W006,V006,M031,2025-01-21,148,1.00,TV,No
W007,V007,M015,2025-01-05,153,0.93,Mobile,Yes
W008,V008,M031,2025-01-22,148,0.96,Laptop,No
W009,V009,M032,2025-03-22,140,0.72,Mobile,No
W010,V010,M033,2024-11-12,162,0.98,TV,No
W011,V011,M031,2025-01-23,148,1.00,Mobile,No
W012,V012,M034,2025-02-15,134,0.88,Laptop,No
W013,V013,M031,2025-01-25,148,0.91,Mobile,No
W014,V014,M032,2025-03-25,140,0.65,TV,No
W015,V015,M017,2025-01-10,163,1.00,Mobile,Yes
W016,V016,M031,2025-01-26,148,1.00,TV,No
W017,V017,M035,2025-04-05,122,0.55,Mobile,No
W018,V018,M031,2025-02-01,148,0.99,Laptop,No
W019,V019,M036,2024-12-22,110,0.48,Mobile,No
W020,V020,M033,2024-11-15,162,0.92,TV,No
W021,V021,M031,2025-02-03,148,1.00,Mobile,No
W022,V022,M037,2024-08-16,105,0.41,Mobile,No
W023,V023,M010,2025-01-08,139,0.97,TV,Yes
W024,V024,M031,2025-02-05,148,0.95,Laptop,No
W025,V025,M028,2025-01-12,143,1.00,Mobile,Yes
W026,V026,M032,2025-03-28,140,0.68,TV,No
W027,V027,M034,2025-02-16,134,0.79,Mobile,No
W028,V028,M033,2024-11-20,162,1.00,TV,No
W029,V029,M031,2025-02-08,148,0.97,Mobile,No
W030,V030,M015,2025-01-14,153,1.00,Laptop,Yes
W031,V031,M035,2025-04-07,122,0.42,Mobile,No
W032,V032,M033,2024-11-22,162,0.96,TV,No
W033,V033,M036,2024-12-24,110,0.51,Mobile,No
W034,V034,M037,2024-08-18,105,0.38,Laptop,No
W035,V035,M031,2025-02-10,148,1.00,TV,No
W036,V036,M038,2025-05-02,155,0.82,Mobile,No
W037,V037,M031,2025-02-12,148,0.93,Mobile,No
W038,V038,M002,2025-01-15,204,1.00,TV,Yes
W039,V039,M032,2025-04-01,140,0.61,Mobile,No
W040,V040,M031,2025-02-15,148,1.00,Laptop,No
W041,V001,M033,2024-11-25,162,0.97,TV,No
W042,V002,M003,2025-01-18,170,1.00,Mobile,Yes
W043,V003,M031,2025-02-18,148,0.89,Mobile,No
W044,V004,M034,2025-02-20,134,0.84,TV,No
W045,V005,M031,2025-02-20,148,0.98,Mobile,No
W046,V006,M010,2025-01-20,139,0.95,Laptop,Yes
W047,V007,M031,2025-02-22,148,0.92,TV,No
W048,V008,M017,2025-01-22,163,1.00,Mobile,Yes
W049,V009,M038,2025-05-03,155,0.76,Mobile,No
W050,V010,M031,2025-02-25,148,0.96,TV,No
