viewer_id,age,region,city,subscription_tier,gender,language_preference
V001,28,North,Delhi,Premium,Male,Hindi
V002,34,West,Mumbai,Standard,Female,Hindi
V003,22,South,Bangalore,Free,Male,Hindi
V004,45,East,Kolkata,Premium,Female,Hindi
V005,19,North,Lucknow,Free,Male,Hindi
V006,31,West,Pune,Standard,Female,Hindi
V007,27,South,Chennai,Standard,Male,Tamil
V008,38,North,Jaipur,Premium,Female,Hindi
V009,25,West,Ahmedabad,Free,Male,Hindi
V010,42,East,Bhubaneswar,Standard,Female,Hindi
V011,29,North,Delhi,Premium,Male,Hindi
V012,35,West,Mumbai,Premium,Female,Hindi
V013,23,South,Hyderabad,Free,Female,Telugu
V014,40,North,Chandigarh,Standard,Male,Hindi
V015,18,West,Mumbai,Free,Female,Hindi
V016,33,South,Bangalore,Standard,Male,Hindi
V017,26,East,Kolkata,Premium,Female,Hindi
V018,47,North,Delhi,Premium,Male,Hindi
V019,30,West,Pune,Standard,Female,Hindi
V020,21,South,Chennai,Free,Male,Tamil
V021,36,North,Agra,Standard,Female,Hindi
V022,24,West,Mumbai,Free,Male,Hindi
V023,44,East,Patna,Standard,Female,Hindi
V024,32,South,Bangalore,Premium,Male,Hindi
V025,20,North,Delhi,Free,Female,Hindi
V026,39,West,Surat,Standard,Male,Hindi
V027,28,South,Hyderabad,Standard,Female,Hindi
V028,43,East,Kolkata,Premium,Male,Hindi
V029,26,North,Delhi,Standard,Female,Hindi
V030,37,West,Mumbai,Premium,Male,Hindi
V031,22,South,Bangalore,Free,Female,Hindi
V032,48,North,Jaipur,Standard,Male,Hindi
V033,31,West,Pune,Standard,Female,Hindi
V034,27,East,Ranchi,Free,Male,Hindi
V035,41,South,Bangalore,Premium,Female,Hindi
V036,29,North,Delhi,Standard,Male,Hindi
V037,23,West,Mumbai,Free,Female,Hindi
V038,35,East,Kolkata,Standard,Male,Hindi
V039,33,South,Hyderabad,Standard,Female,Hindi
V040,46,North,Delhi,Premium,Male,Hindi
