spend_id,movie_id,channel,spend_inr,impressions,clicks,conversions,campaign_date
MS001,M031,Instagram,15000000,42000000,1850000,320000,2025-01-10
MS002,M031,YouTube,22000000,68000000,2100000,410000,2025-01-10
MS003,M031,OOH,8000000,25000000,0,95000,2025-01-10
MS004,M031,Twitter,5000000,18000000,720000,98000,2025-01-10
MS005,M031,Hotstar Ads,12000000,35000000,980000,215000,2025-01-10
MS006,M032,Instagram,18000000,28000000,890000,140000,2025-03-15
MS007,M032,YouTube,25000000,45000000,1200000,180000,2025-03-15
MS008,M032,OOH,10000000,18000000,0,62000,2025-03-15
MS009,M032,Twitter,6000000,12000000,380000,55000,2025-03-15
MS010,M033,Instagram,14000000,38000000,1400000,280000,2024-11-01
MS011,M033,YouTube,20000000,58000000,1800000,360000,2024-11-01
MS012,M033,OOH,7000000,22000000,0,88000,2024-11-01
MS013,M035,Instagram,9000000,12000000,320000,48000,2025-03-28
MS014,M035,YouTube,11000000,15000000,410000,62000,2025-03-28
MS015,M035,OOH,5000000,8000000,0,28000,2025-03-28
MS016,M036,Instagram,7000000,9000000,210000,32000,2024-12-12
MS017,M036,YouTube,8000000,11000000,280000,38000,2024-12-12
MS018,M036,Twitter,3000000,5000000,120000,18000,2024-12-12
MS019,M037,Instagram,5000000,6000000,140000,19000,2024-08-05
MS020,M037,YouTube,6000000,8000000,190000,24000,2024-08-05
MS021,M034,Instagram,10000000,22000000,680000,120000,2025-02-07
MS022,M034,YouTube,13000000,30000000,820000,150000,2025-02-07
MS023,M038,Instagram,11000000,24000000,710000,130000,2025-04-22
MS024,M038,YouTube,15000000,35000000,910000,175000,2025-04-22
MS025,M031,Celebrity Collab,18000000,85000000,3200000,580000,2025-01-05
spend_id,movie_id,channel,spend_inr,impressions,clicks,conversions,campaign_date
MS001,M031,Instagram,15000000,42000000,1850000,320000,2025-01-10
MS002,M031,YouTube,22000000,68000000,2100000,410000,2025-01-10
MS003,M031,OOH,8000000,25000000,0,95000,2025-01-10
MS004,M031,Twitter,5000000,18000000,720000,98000,2025-01-10
MS005,M031,Hotstar Ads,12000000,35000000,980000,215000,2025-01-10
MS006,M032,Instagram,18000000,28000000,890000,140000,2025-03-15
MS007,M032,YouTube,25000000,45000000,1200000,180000,2025-03-15
MS008,M032,OOH,10000000,18000000,0,62000,2025-03-15
MS009,M032,Twitter,6000000,12000000,380000,55000,2025-03-15
MS010,M033,Instagram,14000000,38000000,1400000,280000,2024-11-01
MS011,M033,YouTube,20000000,58000000,1800000,360000,2024-11-01
MS012,M033,OOH,7000000,22000000,0,88000,2024-11-01
MS013,M035,Instagram,9000000,12000000,320000,48000,2025-03-28
MS014,M035,YouTube,11000000,15000000,410000,62000,2025-03-28
MS015,M035,OOH,5000000,8000000,0,28000,2025-03-28
MS016,M036,Instagram,7000000,9000000,210000,32000,2024-12-12
MS017,M036,YouTube,8000000,11000000,280000,38000,2024-12-12
MS018,M036,Twitter,3000000,5000000,120000,18000,2024-12-12
MS019,M037,Instagram,5000000,6000000,140000,19000,2024-08-05
MS020,M037,YouTube,6000000,8000000,190000,24000,2024-08-05
MS021,M034,Instagram,10000000,22000000,680000,120000,2025-02-07
MS022,M034,YouTube,13000000,30000000,820000,150000,2025-02-07
MS023,M038,Instagram,11000000,24000000,710000,130000,2025-04-22
MS024,M038,YouTube,15000000,35000000,910000,175000,2025-04-22
