perf_id,city,region,movie_id,month,year,views,engagement_score,avg_watch_time_mins,repeat_views
RP001,Mumbai,West,M031,January,2025,1850000,9.4,142,380000
RP002,Delhi,North,M031,January,2025,1620000,9.1,138,310000
RP003,Bangalore,South,M031,January,2025,980000,8.8,135,175000
RP004,Kolkata,East,M031,January,2025,720000,8.6,130,120000
RP005,Hyderabad,South,M031,January,2025,640000,8.5,128,105000
RP006,Mumbai,West,M033,November,2024,1420000,8.9,155,260000
RP007,Delhi,North,M033,November,2024,1180000,8.7,150,210000
RP008,Bangalore,South,M033,November,2024,820000,8.5,148,140000
RP009,Pune,West,M033,November,2024,510000,8.3,145,85000
RP010,Chennai,South,M033,November,2024,440000,8.1,140,70000
RP011,Mumbai,West,M032,March,2025,920000,7.2,108,95000
RP012,Delhi,North,M032,March,2025,780000,7.0,102,80000
RP013,Bangalore,South,M032,March,2025,560000,7.4,110,62000
RP014,Hyderabad,South,M032,March,2025,390000,6.9,98,40000
RP015,Mumbai,West,M036,December,2024,310000,5.8,72,28000
RP016,Delhi,North,M036,December,2024,280000,5.6,68,22000
RP017,Lucknow,North,M036,December,2024,195000,5.4,65,15000
RP018,Mumbai,West,M037,August,2024,240000,5.1,58,18000
RP019,Delhi,North,M037,August,2024,210000,4.9,54,14000
RP020,Jaipur,North,M037,August,2024,145000,4.7,50,10000
RP021,Mumbai,West,M035,April,2025,380000,6.0,74,32000
RP022,Delhi,North,M035,April,2025,320000,5.8,70,26000
RP023,Bangalore,South,M035,April,2025,225000,6.2,76,20000
RP024,Mumbai,West,M031,February,2025,2100000,9.6,145,450000
RP025,Delhi,North,M031,February,2025,1890000,9.3,141,380000
RP026,Bangalore,South,M031,February,2025,1120000,9.0,138,220000
RP027,Pune,West,M031,February,2025,780000,8.9,136,145000
RP028,Chennai,South,M031,February,2025,690000,8.7,134,118000
RP029,Kolkata,East,M031,February,2025,840000,8.8,137,155000
RP030,Hyderabad,South,M031,February,2025,720000,8.6,132,122000
RP031,Ahmedabad,West,M031,February,2025,560000,8.5,130,88000
RP032,Jaipur,North,M031,February,2025,480000,8.4,128,72000
RP033,Mumbai,West,M034,February,2025,680000,8.2,118,95000
RP034,Delhi,North,M034,February,2025,590000,8.0,115,82000
RP035,Mumbai,West,M038,May,2025,420000,7.9,125,58000
RP036,Delhi,North,M038,May,2025,380000,7.8,122,52000
RP037,Bangalore,South,M038,May,2025,290000,8.1,128,44000
